gameId,gameDate,personId,teamTricode,priorGames,finishing,shooting,playmaking,defense,rebounding,physical
22500115,2025-10-27,1630245,CHI,50,60.24954072259645,51.51621230799151,81.48307756989699,31.161971830985912,19.366197183098592,57.2
22500132,2025-10-29,1630245,CHI,51,61.38159906417843,53.59981721773606,81.21387456980116,30.494296577946763,18.91634980988593,57.2
22500023,2025-10-31,1630245,CHI,52,61.15142551259089,49.808450501117605,81.65616561656167,26.79425837320574,19.162679425837318,57.2
22500153,2025-11-02,1630245,CHI,53,65.21524842946887,50.19545645379484,81.92585382681976,31.456310679611647,18.61650485436893,57.2
22500167,2025-11-04,1630245,CHI,54,65.13668125929271,50.82531334186964,81.2484076433121,26.687898089171973,18.662420382165603,57.2
22500035,2025-11-07,1630245,CHI,55,64.2559597869905,51.18864023033634,83.25805552740906,27.3943661971831,18.6443661971831,57.2
22500186,2025-11-08,1630245,CHI,56,62.696078431372555,51.185614949497385,84.14967967384975,26.225490196078432,16.936274509803923,57.2
22500202,2025-11-10,1630245,CHI,57,63.05555555555556,53.22963111289103,84.46775446775447,27.991452991452995,18.034188034188034,57.2
22500214,2025-11-12,1630245,CHI,58,62.60450160771705,53.878052466044664,84.90679444339364,26.012861736334408,16.35048231511254,57.2
22500240,2025-11-16,1630245,CHI,59,64.30519538585352,57.256780725890195,83.72641509433963,30.18867924528302,14.268867924528301,57.2
22500248,2025-11-17,1630245,CHI,60,61.267228215358855,55.299638172772504,80.1723966366486,27.22772277227723,17.797029702970296,57.2
22500263,2025-11-19,1630245,CHI,61,64.7566371681416,57.57228918342922,80.97088337547409,28.230088495575224,15.685840707964601,57.2
22500051,2025-11-21,1630245,CHI,62,67.8216635189645,58.36479092551691,79.84382151029749,29.434782608695652,12.847826086956523,57.2
22500271,2025-11-22,1630245,CHI,63,67.05942313500452,59.71555895085308,82.09963002114165,29.261363636363637,18.948863636363637,57.2
22500289,2025-11-24,1630245,CHI,64,67.60106646825398,59.584751275510214,80.23984375,27.2265625,16.73828125,57.2
22500071,2025-11-28,1630245,CHI,65,67.92504450248714,59.9469094875827,79.94591097308488,25.892857142857142,15.446428571428573,57.2
